epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7625,2.10519,3.07168,1.77449,0.03867,0.66286,0.14366,0.05369,1.93491,2.83194,1.51522,2e-05,2e-05,2e-05
2,21.0269,2.2561,3.17828,1.88834,0.03867,0.66286,0.1484,0.06385,1.89987,2.83299,1.49304,5.97624e-05,5.97624e-05,5.97624e-05
3,28.5209,2.05834,3.06542,1.76608,0.039,0.66857,0.18396,0.08457,1.87201,2.8443,1.4894,9.9208e-05,9.9208e-05,9.9208e-05
4,36.3212,1.84736,2.94712,1.63431,0.04067,0.69714,0.27297,0.13001,1.81804,2.83191,1.44488,0.000138337,0.000138337,0.000138337
5,43.8104,1.85566,2.69064,1.6305,0.04267,0.73143,0.30496,0.14631,1.82096,2.76628,1.39726,0.000177149,0.000177149,0.000177149
6,51.4617,1.9283,2.42708,1.58907,0.043,0.73714,0.30736,0.14218,1.91,2.71884,1.43823,0.000215644,0.000215644,0.000215644
7,59.0694,1.90503,2.02954,1.58641,0.03933,0.67429,0.235,0.11019,2.08783,2.66426,1.56805,0.000253822,0.000253822,0.000253822
8,66.2349,1.89994,1.72739,1.49429,0.72933,0.1848,0.28908,0.13519,2.09498,2.43211,1.59165,0.000291684,0.000291684,0.000291684
9,73.6827,1.83104,1.49609,1.45553,0.71247,0.18409,0.33548,0.1547,2.1458,2.33093,1.61939,0.000329229,0.000329229,0.000329229
10,81.245,1.84256,1.47581,1.47471,0.70957,0.27923,0.41611,0.18219,2.06038,2.26436,1.52463,0.000366457,0.000366457,0.000366457
11,88.6049,1.88564,1.49295,1.5028,0.70463,0.29992,0.38235,0.17158,2.08252,2.28982,1.5413,0.000403368,0.000403368,0.000403368
12,96.4545,1.89242,1.47569,1.45099,0.62656,0.26845,0.36118,0.16525,2.10882,2.20926,1.55176,0.000439962,0.000439962,0.000439962
13,103.385,1.82933,1.44891,1.47159,0.56928,0.26286,0.31543,0.1367,2.13896,2.31898,1.63625,0.00047624,0.00047624,0.00047624
14,111.414,1.63741,1.28687,1.42229,0.49854,0.23429,0.23743,0.09922,2.20856,2.5856,1.78556,0.000512201,0.000512201,0.000512201
15,118.812,1.76955,1.35413,1.47915,0.5649,0.24,0.28172,0.12702,2.11781,2.45174,1.72414,0.000547845,0.000547845,0.000547845
16,127.588,1.82105,1.36882,1.48183,0.44546,0.21143,0.23683,0.10538,2.11956,2.56267,1.73857,0.000583172,0.000583172,0.000583172
17,134.676,1.79467,1.47607,1.5209,0.17817,0.09664,0.07487,0.0327,2.29138,3.05666,1.98547,0.000618182,0.000618182,0.000618182
18,141.622,1.82454,1.39322,1.48851,0.35145,0.11429,0.11353,0.04356,2.22941,3.01156,1.89847,0.000652876,0.000652876,0.000652876
19,150.429,1.91264,1.44046,1.50453,0.51,0.22857,0.26067,0.12515,2.05422,2.52357,1.71848,0.000687253,0.000687253,0.000687253
20,156.769,1.81932,1.38844,1.47052,0.41439,0.19006,0.18668,0.08088,2.15746,2.67862,1.81351,0.000721313,0.000721313,0.000721313
21,165.299,1.79985,1.2722,1.46171,0.21495,0.07429,0.07669,0.02723,2.31537,3.1554,2.113,0.000755056,0.000755056,0.000755056
